num_qubits,variant,final_meta_loss,final_val_acc,final_val_loss,mean_grad_norm
4,gaussian,0.7016437500715256,0.4791666666666667,0.696119487285614,0.36299466753145326
4,qmaml_existing,0.6904922326405843,0.3541666666666667,0.6978277067343394,1.1014380616085733
4,qmaml_paper,0.6239932576815287,0.4583333333333333,0.7028442720572153,0.8574017622515434
4,uniform,0.7077920238176981,0.4791666666666667,0.6972820162773132,0.4444553327368119
4,zero,0.7170574168364207,0.4583333333333333,0.7060225109259287,0.5925788027679103
6,gaussian,0.721127321322759,0.5,0.6931262711683909,0.8631353329791907
6,qmaml_existing,0.6928947071234385,0.5625,0.6920996010303497,1.8273759068723496
6,qmaml_paper,0.67582967877388,0.4375,0.6947328945000967,0.5860230731009637
6,uniform,0.6924400329589844,0.4375,0.7011961936950684,0.24638018576865486
6,zero,0.7352422028779984,0.5208333333333334,0.6984878679116567,0.9255574276359824
